fold,rmse,mae,r2,best_estimator,best_config,best_loss
1,0.5833414424214409,0.4060566594949353,0.8081119064498314,XGBRegressor,"{'n_estimators': 106, 'max_depth': 9, 'min_child_weight': 1.558588309431346, 'learning_rate': 0.10602908557809841, 'subsample': 0.9445949674793649, 'colsample_bylevel': 0.8524801717337603, 'colsample_bytree': 0.9603458759193015, 'reg_alpha': 0.022122700644645533, 'reg_lambda': 0.5692767373009409}",0.5589287334355217
2,0.578914322026522,0.42365638243631515,0.7750243045407269,ExtraTreesRegressor,"{'n_estimators': 32, 'max_features': 0.5440599510254464, 'max_leaves': 688}",0.5030476829481
3,0.6140969964616904,0.4168910320629862,0.7832567484365436,LGBMRegressor,"{'n_estimators': 1804, 'num_leaves': 13, 'min_child_samples': 3, 'learning_rate': 0.02804097327890397, 'log_max_bin': 5, 'colsample_bytree': 0.9972498522448549, 'reg_alpha': 0.08137539799956404, 'reg_lambda': 2.230794947449961}",0.5285154755552276
4,0.5945119142819678,0.4172974260677981,0.7837862030450018,ExtraTreesRegressor,"{'n_estimators': 72, 'max_features': 1.0, 'max_leaves': 809}",0.5043488175368688
5,0.5529347424880482,0.40066396363891,0.8256837914255952,XGBRegressor,"{'n_estimators': 748, 'max_depth': 7, 'min_child_weight': 1.9695009805742, 'learning_rate': 0.05713574880684673, 'subsample': 0.8871744884387558, 'colsample_bylevel': 0.889463643453186, 'colsample_bytree': 1.0, 'reg_alpha': 0.16985957757275402, 'reg_lambda': 0.4079590884085317}",0.49135416265790544
